更新时间: 2025-12-31 00:38:43（北京时间）

更新时间,#genre#
2025-12-31 00:38:43,https://txmov2.a.kwimgs.com/bs3/video-hls/5230086603510673905_hlsb.m3u8?pkey=AAUyMbVkU7WkimubgX0RPM_gxiBDBZ0O6NjXg8fqHAfjVU3xFbWk1Mq_dhogP1fSZfTuxFuTTP4Q9geCGPwtGGOxQWCeEZMzc8A0cmLTyXrZZWUeTZQtSukPK5Y5UyZPBuM

央视频道,#genre#
CCTV1,http://112.226.186.244:1025/rtp/239.253.254.77:8000$山东联通
CCTV1,http://123.120.240.126:4022/rtp/239.3.1.129:8008$北京市联通
CCTV1,http://123.155.17.197:8888/rtp/233.50.201.118:5140$浙江电信
CCTV1,http://58.48.104.87:8989/rtp/239.254.96.96:8550$湖北电信
CCTV1,http://180.140.153.3:4022/rtp/239.81.0.102:4056$广西电信
CCTV1,http://222.95.12.2:4022/rtp/239.49.8.19:9614$江苏电信
CCTV1,http://182.123.208.170:12345/rtp/225.1.4.73:1102$河南联通
CCTV1,http://122.234.155.78:55555/rtp/233.50.201.118:5140$浙江电信
CCTV1,http://183.161.175.179:7000/rtp/238.1.78.166:7200$安徽电信
CCTV2,http://112.226.186.244:1025/rtp/239.253.254.232:8000$山东联通
CCTV2,http://123.120.240.126:4022/rtp/239.3.1.60:8084$北京市联通
CCTV2,http://123.155.17.197:8888/rtp/233.50.201.119:5140$浙江电信
CCTV2,http://58.48.104.87:8989/rtp/239.69.1.102:10250$湖北电信
CCTV2,http://180.140.153.3:4022/rtp/239.81.0.115:4056$广西电信
CCTV2,http://222.95.12.2:4022/rtp/239.49.8.50:9802$江苏电信
CCTV2,http://182.123.208.170:12345/rtp/225.1.4.74:1103$河南联通
CCTV2,http://122.234.155.78:55555/rtp/233.50.201.119:5140$浙江电信
CCTV2,http://183.161.175.179:7000/rtp/238.1.78.235:7752$安徽电信
CCTV3,http://112.226.186.244:1025/rtp/239.253.254.191:8000$山东联通
CCTV3,http://123.120.240.126:4022/rtp/239.3.1.172:8001$北京市联通
CCTV3,http://123.155.17.197:8888/rtp/233.50.201.196:5140$浙江电信
CCTV3,http://58.48.104.87:8989/rtp/239.69.1.122:10370$湖北电信
CCTV3,http://180.140.153.3:4022/rtp/239.81.0.231:4056$广西电信
CCTV3,http://222.95.12.2:4022/rtp/239.49.8.74:8000$江苏电信
CCTV3,http://182.123.208.170:12345/rtp/225.1.4.158:1194$河南联通
CCTV3,http://122.234.155.78:55555/rtp/233.50.201.196:5140$浙江电信
CCTV3,http://183.161.175.179:7000/rtp/238.1.78.170:7232$安徽电信
CCTV4,http://112.226.186.244:1025/rtp/239.253.254.187:8000$山东联通
CCTV4,http://123.120.240.126:4022/rtp/239.3.1.105:8092$北京市联通
CCTV4,http://123.155.17.197:8888/rtp/233.50.200.101:5140$浙江电信
CCTV4,http://58.48.104.87:8989/rtp/239.69.1.138:10466$湖北电信
CCTV4,http://180.140.153.3:4022/rtp/239.81.0.96:4056$广西电信
CCTV4,http://222.95.12.2:4022/rtp/239.49.8.51:9806$江苏电信
CCTV4,http://182.123.208.170:12345/rtp/225.1.5.30:1333$河南联通
CCTV4,http://122.234.155.78:55555/rtp/233.50.200.101:5140$浙江电信
CCTV4,http://183.161.175.179:7000/rtp/238.1.78.236:7760$安徽电信
CCTV4欧洲,http://123.120.240.126:4022/rtp/239.3.1.213:4220$北京市联通
CCTV4欧洲,http://58.48.104.87:8989/rtp/239.69.1.231:11028$湖北电信
CCTV4欧洲,http://182.123.208.170:12345/rtp/225.1.5.31:1342$河南联通
CCTV4美洲,http://123.120.240.126:4022/rtp/239.3.1.214:4220$北京市联通
CCTV4美洲,http://58.48.104.87:8989/rtp/239.69.1.232:11034$湖北电信
CCTV4美洲,http://182.123.208.170:12345/rtp/225.1.5.32:1343$河南联通
CCTV5,http://112.226.186.244:1025/rtp/239.253.254.192:8000$山东联通
CCTV5,http://123.120.240.126:4022/rtp/239.3.1.173:8001$北京市联通
CCTV5,http://123.155.17.197:8888/rtp/233.50.200.108:5140$浙江电信
CCTV5,http://123.155.17.197:8888/rtp/233.50.201.194:5140$浙江电信
CCTV5,http://58.48.104.87:8989/rtp/239.69.1.123:10376$湖北电信
